ƒz	Open	High	Low	Close	Last	Avg	Volume	Delivery
2008-06-13	112	119	109.5	116.05	116.25	115.82	402553	84809
2008-06-12	110	112.75	107.95	111.8	111.85	110.4	143142	56610
2008-06-11	109.95	112.7	108.05	111.9	111.2	110.96	155353	60844
2008-06-10	110.5	111.75	107	108.4	108.5	108.94	136323	62771
2008-06-09	113	113	106.3	110.5	110	109.06	263117	115171
2008-06-06	116	120.2	114.05	114.5	115.6	118.32	364918	122958
2008-06-05	111.85	116.5	111.7	115.55	115.9	114.54	321010	106396
2008-06-04	113	114.7	112.05	112.95	113	113.26	328091	217326
2008-06-03	111	115.4	109	114	114.25	112.23	211138	74854
2008-06-02	120	121	112	112.5	113.7	117.93	232403	94112
2008-05-30	119	120.7	115.3	118.5	119.2	118.35	443204	166307
2008-05-29	123.5	123.5	116.25	118.25	117.35	118.11	374578	211173
2008-05-28	118	121.5	117.1	121	120.2	118.7	341818	179054
2008-05-27	121	122.5	115	118	116.75	118.85	222970	72357
2008-05-26	122	123.8	119.15	120	120.2	121.43	219871	61141
2008-05-23	127	128	123	123.25	123.65	125.92	229371	81083
2008-05-22	123.7	130	123.7	126.5	126.8	127.62	706955	172812
2008-05-21	123.65	128	119.2	126.25	126.35	125.98	379512	135725
2008-05-20	126.85	128.5	125.5	126.5	126.5	127.11	213731	68043
2008-05-16	129	129.2	126.15	127.6	127.95	127.76	379824	128964
2008-05-15	128	130.35	126.5	127.5	127.7	128.47	532649	172720
2008-05-14	125	128.9	123	127.5	127.05	127.02	518246	97881
2008-05-13	135	135	123.35	123.5	124.9	128.83	696170	189532
2008-05-12	112	128.95	105.9	128.3	128.05	125.8	719946	188918
2008-05-09	126.95	131.2	125	125.25	126.35	128.23	760076	229955
2008-05-08	128	129.9	126.1	126.55	127.05	127.76	346768	101043
2008-05-07	135	135.8	127.75	128.9	128.85	131.7	1058939	316890
2008-05-06	130.15	134.5	124.05	133.5	131.45	129.93	479632	178338
2008-05-05	132.8	133.4	129.55	129.55	130.2	131.63	342371	146820
2008-05-02	136	136.45	130.6	131.7	131.45	133.61	1533741	460761
2008-04-30	134	135.9	128.5	132.4	133.05	132.99	1291406	270317
2008-04-29	120.9	138.85	120.5	132.9	132.3	130.19	3435854	930579
2008-04-28	118	123.65	117.35	119.5	119.45	120.64	361795	133198
2008-04-25	116.5	121.85	116.5	117.4	118.4	119.09	521778	103793
2008-04-24	119.9	123.1	113.7	115	115.8	117.53	1096108	603841
2008-04-23	116.05	122	116	119.55	119.05	119.61	268676	118680
2008-04-22	120.9	120.9	115.2	117	116.8	116.96	266113	116174
2008-04-21	125	128.4	119	121	120.05	124.66	490013	237477
2008-04-17	122.55	125.4	120.3	123.2	123.8	123.47	592716	168650
2008-04-16	121.35	123.4	118.6	120.8	120.1	121.24	422775	138591
